draw_number|total_distribution|total_probability|total_odds|#winners|amount|
4719|5.425146940748502|5.2868522062554515||108|139018
4722|1.0692776455965145|1.669355755641926|1.2511183763553024|9|1777777
4721|15.09570529570416|10.513353292126194|11.135872966596693|342|76023
4718|107.35687191212986|41.455937657966||3282|2214
4717|0.13642002372566397|0.4500474222020626||1|15000000
4714|0.1724680473687515|0.5804865719179824||7|2142857
4715|1.3342984976860415|1.9787192440753116||16|273594
4716|0.03955420854854849|0.22011913887685244||1|10000000
4713|1.1179752930223523|1.483733759303075||32|500000
4712|5.150859443680173|5.877708341607509||40|500000
4709|7.082817903690179|4.8197391195114125||130|57386
4710|33.15985557678608|20.892528837042736||320|14163
4711|15.072514174227042|9.9110581584307||237|46362
4708|3.54290212613841|3.184494908820851||62|423392
4707|0.07971222284330358|0.2064069780643437||0|0
4705|114.5801955114696|54.48523305734526||1322|3362
4706|87.14005255417726|32.82652584871891||2542|5900
4703|63.612991635294534|34.22078011052207||1390|10791
4704|1.166323731845264|1.6848594391113776||19|894736
4702|57.61873711768327|20.542853984359496||2663|2263
4701|0.09881536177488771|0.375376380995643||4|1025964
4697|28.654416548784585|16.20851214832676||320|19422
4698|12.611615152439391|8.713226891501627||127|48917
4699|1.9491388844583992|2.1287420926750946||12|525124
4700|0.1690887151119906|0.4504931595954786||3|1178752
4694|3.7931012621681104|3.117211117427709||23|268316
4695|1.821667605530986|3.8286634993360598||9|484062
4696|49.53163241951925|21.193442030350408||397|9441
4693|14.268001426055495|12.301572497458887||69|101519
4692|30.559732460982378|13.83131724022908||253|16154
4690|17.71296553892032|9.779865947352516||420|40476
4689|0.8319910938594272|1.5122688327488696||13|465843
4691|2.7513679312536463|2.8397502863514505||35|312461
4688|3.8400933919477658|4.305061079777606||48|146802
4685|25.895804345974486|14.793510859131022||643|27993
4686|17.573802197044813|7.201247655994276||335|41961
4687|1.0688623231473713|1.4605737636762155||19|741249
4684|69.84950818334946|22.854718615456136||2382|7556
4681|0.41453418114013946|0.9162434408787549||5|1463290
4683|19.915497647352574|10.770671373660344||252|43650
4682|1.155429545476276|3.084854678188502||9|633002
4680|0.25449499833777384|0.7599348469628372||7|1088130
4679|9.254447518770643|6.28733471929067||92|84125
4678|0.4528956364183693|0.969415677452062||4|3250000
4677|1.070644270889894|2.097407605691376||11|672666
4676|10.62461144489765|7.8073977570338275||117|62783
4675|1.7949728659801367|1.8314355596022016||15|866666
4673|16.941237129364776|8.448544033133954||232|52509
4674|7.863667642187441|5.790933053975177||143|96916
4672|8.946896702103752|8.14715624654242||73|98235
4669|17.42587541417063|8.770917089799639|7.921450465226956|464|53879
4671|3.373399452300697|3.728792675529184||88|71122
4670|8.30579579996349|4.724779612797505||167|101511
4668|5.210605305623679|4.016024774625638||53|140782
4667|7.156356597993486|4.535570145787183||131|56214
4666|4.711842237916669|5.539598927787223||89|83715
4665|1.612718481643614|2.523956351613882||28|428571
4664|4.880239961311999|3.6907410976752364|2.5131593320595065|63|158730
4663|6.14322752234255|5.916585338173946|6.129685789594139|77|140352
4662|24.984262891563823|12.885658461946704|14.962066391867095|266|27564
4659|0.6054294762063673|1.066182692080616|4.0740115379099295|164|66621
4661|1.6674257194933197|2.6991939384411525|3.427417724242937|24|311633
4660|3.2933312633446707|2.863990726996345|3.1998699906121213|61|196721
4658|13.451260788148694|10.45361817792607||84|58825
4657|3.555666943597142|2.956450781778361||105|69288
4656|0.13990667763094244|0.25022072052482136|0.8944611217899586|10|1500000
4655|4.43483663480089|4.924559063952398|4.42408231586463|55|272727
4654|1.732600414539517|1.6190030282367958|2.6464406240351064|32|468750
4653|13.705118047786465|9.553712505702725||129|34687
4652|0.1811587563352179|0.6465292738207202|0.42725661354022626|3|4333333
4651|1.8827114426209566|2.580114670943722|2.5138347361056397|20|500000
4650|0.03263254335281573|0.18685637294635019||0|0
4649|0.8480655579928682|1.4395903249164121||5|2000000
4647|3.3451863359698706|4.3817981389621234|5.861409713909941|56|160714
4648|0.37272250950521113|0.6272783331071227||0|0
4646|10.200650052580853|5.3368084812433185|1.9970772454010877|223|20429
4645|0.45152491157057206|0.9352431320881299|0.6997598069512561|6|2000000
4642|0.25161768370360127|0.5485364525739201||3|2669162
4644|84.22338541891615|26.764100935906775|42.87817964674377|1734|2948
4643|3.0096548801127674|2.13334891867853||24|184216
4641|230.3283754837635|48.57451739590254||3225|1113
4640|2.964390659647919|3.19672987067204|4.544102035954237|45|266666
4639|0.13598122095503554|0.4376009979266429|0.402448523932343|3|4305737
4638|37.9465951526124|18.68143357023021|33.86437186922914|850|8319
4637|0.06771015146230622|0.369362997186724|0.46164309626394456|9|1613884
4635|2.6284128322419718|2.2928493202701277|2.509610807322768|39|333333
4634|0.2595536983896134|0.6680184779565754|0.49901101601546743|4|1705834
4636|39.86904874004927|15.218348836106903|10.711587206762603|1052|6486
4633|0.03247899679316683|0|0.0897351496466133|4|3250000
4631|2.239977525594616|2.5757172400843507||33|172490
4630|8.016588740651414|5.336486162769181||123|105691
4629|3.3292403358324205|2.9123075716208913||77|313044
4632|0.6940280142552717|1.202640845159587|1.1389233847454523|11|667558
4628|0.016947380489953496|0.12015899419844599||0|0
4627|9.312805491240573|8.113810294534435||200|39288
4626|3.7713510774316394|3.977684518071133||46|543478
4625|1.4591491255267486|2.9510772442890887||21|648589
4624|229.22371382950706|54.642766421498784||6797|1596
4621|2.9148811640792154|3.5575130553544865||40|344368
4622|24.55749441324734|22.647704695084556||311|35369
4623|21.491239797174103|10.74666162532595||382|35101
